BAL,BAL_solar,BAL_wind-on,BAL_wind-off,BAL_hydro-reservoir,BAL_hydro-ror,Name
24992.15578,0,0.605483109,0.824101577,44.12044028,595.3062305,BAL
24441.33643,0,0.62332932,0.831704066,44.12044028,595.3062305,
24294.15567,0,0.647334823,0.831856172,44.12044028,595.3062305,
24256.31799,0,0.661319209,0.845232531,44.12044028,595.3062305,
25156.79631,0,0.665489471,0.833059042,44.12044028,595.3062305,
27953.48946,0,0.670744671,0.801877776,44.12044028,595.3062305,
30369.37315,0,0.666755165,0.754963644,44.12044028,595.3062305,
31355.15585,0.000212897,0.654642188,0.726107564,44.12044028,595.3062305,
31706.82452,0.018164669,0.65315168,0.710699423,44.12044028,595.3062305,
31982.14116,0.05075529,0.648942225,0.737379869,44.12044028,595.3062305,
31878.60391,0.081345136,0.622451265,0.807276923,44.12044028,595.3062305,
31760.54534,0.094485986,0.612415282,0.803324539,44.12044028,595.3062305,
31690.6352,0.088213316,0.607905647,0.801972881,44.12044028,595.3062305,
31820.17348,0.068089253,0.60935737,0.809367464,44.12044028,595.3062305,
31961.39446,0.04600603,0.589971414,0.843406286,44.12044028,595.3062305,
32024.88301,0.004952302,0.575309236,0.884235216,44.12044028,595.3062305,
32423.79338,0,0.56820947,0.90812117,44.12044028,595.3062305,
32623.56322,0,0.559485435,0.919875572,44.12044028,595.3062305,
32564.99068,0,0.538111701,0.92818472,44.12044028,595.3062305,
32211.1499,0,0.514292484,0.93298064,44.12044028,595.3062305,
31641.00824,0,0.485504578,0.934256989,44.12044028,595.3062305,
30998.93319,0,0.461196142,0.93188666,44.12044028,595.3062305,
29794.90757,0,0.444003797,0.925356823,44.12044028,595.3062305,
26550.82066,0,0.421815677,0.916307257,44.12044028,595.3062305,
25673.20362,0,0.41141336,0.91073348,44.12044028,595.3062305,
25247.65107,0,0.410593934,0.901808421,44.12044028,595.3062305,
25129.62463,0,0.417760573,0.88404271,44.12044028,595.3062305,
25149.81477,0,0.42599052,0.86939892,44.12044028,595.3062305,
26152.10652,0,0.415890744,0.854982226,44.12044028,595.3062305,
29448.30715,0,0.412147527,0.827289275,44.12044028,595.3062305,
31195.10653,0,0.403609115,0.803418571,44.12044028,595.3062305,
31744.2579,0.000267791,0.394906321,0.795465954,44.12044028,595.3062305,
31874.69953,0.05462972,0.37298324,0.783179837,44.12044028,595.3062305,
32157.18887,0.1475592,0.331473489,0.763958098,44.12044028,595.3062305,
32175.69917,0.18574074,0.321807961,0.776556601,44.12044028,595.3062305,
32072.99761,0.188523083,0.299501104,0.770017563,44.12044028,595.3062305,
32047.27063,0.155032789,0.284948602,0.747318033,44.12044028,595.3062305,
32056.39214,0.102539069,0.272901182,0.737698975,44.12044028,595.3062305,
32058.86198,0.035576455,0.28535889,0.742700699,44.12044028,595.3062305,
